center_age,age_min,age_max,edu_group,months,diff_avg
22,21,23,College+,3,0.02319753307870736
23,22,24,College+,3,0.02224871416703092
24,23,25,College+,3,0.018987122895240387
25,24,26,College+,3,0.016868548767266886
26,25,27,College+,3,0.015608943221870146
27,26,28,College+,3,0.01504101724463783
28,27,29,College+,3,0.01282102682531376
29,28,30,College+,3,0.012377911202897723
30,29,31,College+,3,0.011918134499884702
31,30,32,College+,3,0.009063036845557924
32,31,33,College+,3,0.005437406823654887
33,32,34,College+,3,0.004317338489914149
34,33,35,College+,3,0.004998883696172293
35,34,36,College+,3,0.006205767860421961
36,35,37,College+,3,0.007137491808152906
37,36,38,College+,3,0.009629871289781761
38,37,39,College+,3,0.009275952009882573
39,38,40,College+,3,0.006776114681322543
40,39,41,College+,3,0.00276551239752579
41,40,42,College+,3,0.003488152689040168
42,41,43,College+,3,0.0029727588957449863
43,42,44,College+,3,0.004218935894849979
44,43,45,College+,3,0.0028143465430340137
45,44,46,College+,3,0.003980524341636984
46,45,47,College+,3,0.0038994102109901653
47,46,48,College+,3,0.00478684827380314
48,47,49,College+,3,0.005000652686742473
49,48,50,College+,3,0.004208783895572685
50,49,51,College+,3,0.0044013807146605355
51,50,52,College+,3,0.003299004638036117
52,51,53,College+,3,0.006858828800388597
53,52,54,College+,3,0.003112073813972299
54,53,55,College+,3,0.0027610538077908926
55,54,56,College+,3,-0.0010253290773536879
56,55,57,College+,3,0.0028314710786659764
57,56,58,College+,3,0.004684649307068067
58,57,59,College+,3,0.007992601479712686
59,58,60,College+,3,0.00806380306183018
60,59,61,College+,3,0.005796186532743247
61,60,62,College+,3,0.003887772610413081
62,61,63,College+,3,0.0018820135836843978
63,62,64,College+,3,0.005021993523440855
64,63,65,College+,3,0.006815568092926908
19,18,20,HS+ (no BA),3,0.020404015048471866
20,19,21,HS+ (no BA),3,0.018246419557788024
21,20,22,HS+ (no BA),3,0.016558737113585548
22,21,23,HS+ (no BA),3,0.014223905765669074
23,22,24,HS+ (no BA),3,0.008624394529323542
24,23,25,HS+ (no BA),3,0.005684331137289497
25,24,26,HS+ (no BA),3,0.006347069957132588
26,25,27,HS+ (no BA),3,0.007900059752595757
27,26,28,HS+ (no BA),3,0.006337799802661044
28,27,29,HS+ (no BA),3,0.005084830762165174
29,28,30,HS+ (no BA),3,0.005384006745874412
30,29,31,HS+ (no BA),3,0.006699942964404221
31,30,32,HS+ (no BA),3,0.006172929594776717
32,31,33,HS+ (no BA),3,0.0062906801600707525
33,32,34,HS+ (no BA),3,0.003685119351056499
34,33,35,HS+ (no BA),3,0.006804596546563117
35,34,36,HS+ (no BA),3,0.006970095400403342
36,35,37,HS+ (no BA),3,0.01099744566983056
37,36,38,HS+ (no BA),3,0.00896873008558547
38,37,39,HS+ (no BA),3,0.007992174456270233
39,38,40,HS+ (no BA),3,0.00597847522187753
40,39,41,HS+ (no BA),3,0.005800129607609251
41,40,42,HS+ (no BA),3,0.005900592892380136
42,41,43,HS+ (no BA),3,0.005832336309003451
43,42,44,HS+ (no BA),3,0.007564069705323612
44,43,45,HS+ (no BA),3,0.009554203490699227
45,44,46,HS+ (no BA),3,0.01124707761926009
46,45,47,HS+ (no BA),3,0.005574910266426499
47,46,48,HS+ (no BA),3,0.002451942432947408
48,47,49,HS+ (no BA),3,6.426293045463891e-4
49,48,50,HS+ (no BA),3,0.0026621099906105846
50,49,51,HS+ (no BA),3,0.002692431998598019
51,50,52,HS+ (no BA),3,0.002950014134946393
52,51,53,HS+ (no BA),3,0.005811997133171885
53,52,54,HS+ (no BA),3,0.006254702170665204
54,53,55,HS+ (no BA),3,0.0031248763353073465
55,54,56,HS+ (no BA),3,6.612860272803578e-4
56,55,57,HS+ (no BA),3,0.0018516189974896516
57,56,58,HS+ (no BA),3,0.0024834496932904515
58,57,59,HS+ (no BA),3,0.0026933633790284296
59,58,60,HS+ (no BA),3,0.0025368689348513143
60,59,61,HS+ (no BA),3,0.00372732794842503
61,60,62,HS+ (no BA),3,0.0014606977416379632
62,61,63,HS+ (no BA),3,-9.962696020025645e-4
63,62,64,HS+ (no BA),3,0.0016762097079108633
64,63,65,HS+ (no BA),3,0.001856322710686878
19,18,20,< HS,3,-0.031053587295641793
20,19,21,< HS,3,-0.0076178936769162875
21,20,22,< HS,3,-0.011272120881343975
22,21,23,< HS,3,-0.009325861572221409
23,22,24,< HS,3,-0.016515410607615365
24,23,25,< HS,3,-0.004413467362949827
25,24,26,< HS,3,-0.0020446283903945935
26,25,27,< HS,3,-0.0080338635367242
27,26,28,< HS,3,-0.00432460752164987
28,27,29,< HS,3,0.0012434821616166222
29,28,30,< HS,3,-0.0020485535609639505
30,29,31,< HS,3,-0.006167881602918692
31,30,32,< HS,3,-0.005803614630627281
32,31,33,< HS,3,-8.625805115317308e-4
33,32,34,< HS,3,-0.002893498988162676
34,33,35,< HS,3,-0.0018035402916402044
35,34,36,< HS,3,0.003859205320425806
36,35,37,< HS,3,0.0039025330763590806
37,36,38,< HS,3,5.584270007625107e-4
38,37,39,< HS,3,-0.004482995029163025
39,38,40,< HS,3,-0.004413888461532255
40,39,41,< HS,3,-0.010899472465096158
41,40,42,< HS,3,-0.011079798012351547
42,41,43,< HS,3,-0.006192587873564241
43,42,44,< HS,3,0.006553528362001057
44,43,45,< HS,3,0.00803656809720005
45,44,46,< HS,3,0.0066160294514563634
46,45,47,< HS,3,0.0014199731041053035
47,46,48,< HS,3,0.005803992776101954
48,47,49,< HS,3,0.004701035542460465
49,48,50,< HS,3,0.004064983803437949
50,49,51,< HS,3,-0.00731821707078896
51,50,52,< HS,3,-0.007749791611617096
52,51,53,< HS,3,-0.0031970053959659295
53,52,54,< HS,3,0.0020817115582787474
54,53,55,< HS,3,0.006656714247244827
55,54,56,< HS,3,0.007794830928088227
56,55,57,< HS,3,0.006452045864537059
57,56,58,< HS,3,-0.0016730028315862927
58,57,59,< HS,3,-0.006388155465656312
59,58,60,< HS,3,-0.0026646857253378245
60,59,61,< HS,3,0.020784720513360215
61,60,62,< HS,3,0.03401846522426948
62,61,63,< HS,3,0.030449366814062136
63,62,64,< HS,3,0.009449530018041377
64,63,65,< HS,3,-0.007125575688593438
