good,mean_share,expenditure_elasticity,marshallian_own_price,hicksian_own_price,classification,quintile
Food at Home,0.10770302962681376,1.1112051136957284,-0.5195578066948079,-0.3998776494129699,Luxury,Lowest 20 percent income quintile
Food Away from Home,0.050929371408385625,1.0819134394650114,-2.2481859180568753,-2.1930847466666377,Luxury,Lowest 20 percent income quintile
Shelter,0.3950397227154788,0.611683036882312,-0.8594338892832374,-0.6177947920034869,Necessity,Lowest 20 percent income quintile
Everything Else,0.4463278762493218,1.3075131648783291,-1.0313150587038311,-0.44773548465565716,Luxury,Lowest 20 percent income quintile
Food at Home,0.09489943385659005,1.0039055862506232,-0.7500179317817076,-0.6547478600010553,Luxury,Second 20 percent income quintile
Food Away from Home,0.050248940879142785,2.0575231484604317,-3.708521706965323,-3.605133347920867,Luxury,Second 20 percent income quintile
Shelter,0.36159417894669227,0.3373293748306153,-0.6799988850151627,-0.5580225466886853,Necessity,Second 20 percent income quintile
Everything Else,0.49325744631757495,1.3773035479144442,-0.8772888204169648,-0.19792358956855027,Luxury,Second 20 percent income quintile
Food at Home,0.083313654993022,1.356123054219064,-1.377589706884226,-1.2646061386169356,Luxury,Third 20 percent income quintile
Food Away from Home,0.05330913658667365,2.1777849561464793,-2.135837896136122,-2.0197420604525065,Luxury,Third 20 percent income quintile
Shelter,0.3396257411489374,0.5459453109206638,-0.7346997746083307,-0.5492826937601132,Necessity,Third 20 percent income quintile
Everything Else,0.523751467271367,1.1179033411614565,-1.0658852193039983,-0.48038170410312186,Luxury,Third 20 percent income quintile
Food at Home,0.0750335224296965,1.4041729554065934,-1.1964869526811928,-1.0911269097365188,Luxury,Fourth 20 percent income quintile
Food Away from Home,0.05538626936983803,2.3828182663680595,-2.2673489899773998,-2.135373575616968,Luxury,Fourth 20 percent income quintile
Shelter,0.3187955353012047,0.472565466134936,-0.5579339122812075,-0.40728215153985725,Necessity,Fourth 20 percent income quintile
Everything Else,0.5507846728992608,1.1111652376453873,-1.1189234284176588,-0.5069106464641148,Luxury,Fourth 20 percent income quintile
Food at Home,0.05917251817467429,-0.15624898119210617,-1.6637770271383312,-1.6730226728176953,Inferior,Highest 20 percent income quintile
Food Away from Home,0.0538660409051633,2.438639191196617,-0.436779194351991,-0.3054193559260596,Luxury,Highest 20 percent income quintile
Shelter,0.30623162645793184,0.763331112796783,-0.7003453985329262,-0.46658927033522435,Necessity,Highest 20 percent income quintile
Everything Else,0.5807298144622306,1.1091727392233344,-1.0401361358836043,-0.3960064568278733,Luxury,Highest 20 percent income quintile
